iter	Passed	Remaining
0	334	333763
1	335	167347
2	336	111793
3	337	84017
4	338	67357
5	339	56257
6	341	48505
7	343	42534
8	343	37870
9	345	34155
10	345	31104
11	346	28563
12	348	26424
13	349	24580
14	350	22995
15	351	21600
16	352	20387
17	354	19322
18	356	18403
19	357	17530
20	359	16744
21	360	16033
22	361	15369
23	362	14750
24	363	14188
25	364	13664
26	365	13180
27	366	12739
28	368	12325
29	369	11954
30	372	11632
31	374	11329
32	375	11010
33	378	10741
34	379	10457
35	380	10184
36	381	9926
37	382	9681
38	383	9447
39	384	9236
40	386	9040
41	388	8870
42	390	8680
43	391	8505
44	392	8330
45	393	8164
46	395	8016
47	397	7880
48	398	7732
49	399	7598
50	401	7473
51	402	7344
52	404	7236
53	406	7114
54	407	6995
55	408	6881
56	409	6772
57	410	6667
58	411	6570
59	413	6474
60	415	6389
61	416	6307
62	418	6222
63	420	6154
64	422	6072
65	423	5988
66	424	5905
67	425	5828
68	426	5752
69	427	5678
70	428	5604
71	429	5542
72	433	5503
73	434	5440
74	435	5376
75	436	5312
76	438	5250
77	439	5192
78	440	5135
79	441	5077
80	442	5021
81	443	4969
82	445	4920
83	448	4888
84	449	4841
85	450	4792
86	452	4744
87	453	4695
88	454	4649
89	455	4602
90	456	4555
91	457	4515
92	461	4501
93	463	4470
94	465	4434
95	466	4394
96	468	4356
97	469	4317
98	470	4277
99	471	4239
100	471	4201
101	473	4164
102	474	4133
103	479	4130
104	480	4096
105	481	4064
106	483	4031
107	483	3997
108	485	3966
109	486	3934
110	487	3902
111	488	3870
112	489	3841
113	491	3821
114	495	3814
115	496	3786
116	498	3759
117	499	3734
118	501	3709
119	502	3683
120	503	3657
121	505	3634
122	507	3618
123	510	3605
124	512	3588
125	513	3565
126	515	3542
127	516	3520
128	517	3496
129	519	3477
130	521	3459
131	523	3443
132	525	3423
133	526	3403
134	542	3477
135	543	3454
136	545	3437
137	546	3415
138	548	3398
139	550	3379
140	551	3360
141	552	3341
142	554	3322
143	557	3313
144	561	3310
145	564	3304
146	569	3301
147	571	3290
148	572	3272
149	574	3253
150	575	3233
151	576	3215
152	581	3217
153	583	3206
154	586	3197
155	587	3180
156	588	3162
157	590	3144
158	591	3128
159	592	3110
160	593	3091
161	594	3074
162	597	3067
163	599	3057
164	600	3040
165	602	3025
166	603	3009
167	604	2992
168	605	2976
169	606	2960
170	607	2944
171	608	2928
172	609	2912
173	610	2899
174	612	2885
175	613	2874
176	615	2861
177	617	2852
178	618	2838
179	620	2825
180	621	2811
181	622	2797
182	623	2783
183	624	2768
184	625	2755
185	626	2741
186	628	2733
187	630	2724
188	632	2714
189	633	2702
190	634	2689
191	635	2676
192	636	2663
193	637	2650
194	639	2638
195	639	2625
196	641	2613
197	643	2608
198	645	2600
199	647	2591
200	649	2580
201	650	2568
202	651	2556
203	652	2545
204	653	2533
205	654	2521
